,id,scholar_id,title,abstract,bib_id,journal,number,pages,pub_type,pub_year,publisher,venue,volume,num_citations,gsrank,citedby_url,eprint_url,pub_url,url_add_sclib,url_related_articles,url_scholarbib,search_term,depth,fetched_citations
0,1,OoEvRGBnr-QJ,Applications of machine learning to undifferentiated chest pain in the emergency department: A systematic review,presenting to an emergency department with undifferentiated  development of a machine  learning model retrospectively  the applications of machine learning in undifferentiated chest,stewart2021applications,PloS one,8,e0252612,article,2021.0,"Public Library of Science San Francisco, CA USA",PloS one,16.0,11,1,"/scholar?cites=16478503224730419514&as_sdt=5,33&sciodt=1,33&hl=en",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0252612,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0252612,"/citations?hl=en&xsrf=&continue=/scholar%3Fq%3D%2522emergency%2Bdepartment%2522%2Bmachine%2Blearning%26hl%3Den%26as_sdt%3D1,33%26as_ylo%3D2012%26as_yhi%3D2022%26as_vis%3D1&citilm=1&update_op=library_add&info=OoEvRGBnr-QJ&ei=k4A0Y_P2KJCXywTOrbawDQ&json=","/scholar?q=related:OoEvRGBnr-QJ:scholar.google.com/&scioq=%22emergency+department%22+machine+learning&hl=en&as_sdt=1,33&as_ylo=2012&as_yhi=2022&as_vis=1",/scholar?hl=en&q=info:OoEvRGBnr-QJ:scholar.google.com/&output=cite&scirp=0&hl=en,"""emergency department"" machine learning",0,0
1,2,8gNE1qbzqkgJ,Predicting urinary tract infections in the emergency department with machine learning,"In this study developing and validating models for prediction of urinary tract infections in  emergency department visits on a large EHR dataset, the best performing machine learning",taylor2018predicting,PloS one,3,e0194085,article,2018.0,"Public Library of Science San Francisco, CA USA",PloS one,13.0,110,2,"/scholar?cites=5236265414656525298&as_sdt=5,33&sciodt=1,33&hl=en",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0194085,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0194085,"/citations?hl=en&xsrf=&continue=/scholar%3Fq%3D%2522emergency%2Bdepartment%2522%2Bmachine%2Blearning%26hl%3Den%26as_sdt%3D1,33%26as_ylo%3D2012%26as_yhi%3D2022%26as_vis%3D1&citilm=1&update_op=library_add&info=8gNE1qbzqkgJ&ei=k4A0Y_P2KJCXywTOrbawDQ&json=","/scholar?q=related:8gNE1qbzqkgJ:scholar.google.com/&scioq=%22emergency+department%22+machine+learning&hl=en&as_sdt=1,33&as_ylo=2012&as_yhi=2022&as_vis=1",/scholar?hl=en&q=info:8gNE1qbzqkgJ:scholar.google.com/&output=cite&scirp=1&hl=en,"""emergency department"" machine learning",0,0
2,3,cUgwhGZ9NZcJ,Emergency department triage prediction of clinical outcomes using machine learning models,Development of emergency department (ED) triage systems that accurately differentiate  and prioritize critically ill from stable patients remains challenging. We used machine learning,raita2019emergency,Critical care,1,1--13,article,2019.0,BioMed Central,Critical …,23.0,188,3,"/scholar?cites=10895752752750676081&as_sdt=5,33&sciodt=1,33&hl=en",https://ccforum.biomedcentral.com/articles/10.1186/s13054-019-2351-7,https://ccforum.biomedcentral.com/articles/10.1186/s13054-019-2351-7,"/citations?hl=en&xsrf=&continue=/scholar%3Fq%3D%2522emergency%2Bdepartment%2522%2Bmachine%2Blearning%26hl%3Den%26as_sdt%3D1,33%26as_ylo%3D2012%26as_yhi%3D2022%26as_vis%3D1&citilm=1&update_op=library_add&info=cUgwhGZ9NZcJ&ei=k4A0Y_P2KJCXywTOrbawDQ&json=","/scholar?q=related:cUgwhGZ9NZcJ:scholar.google.com/&scioq=%22emergency+department%22+machine+learning&hl=en&as_sdt=1,33&as_ylo=2012&as_yhi=2022&as_vis=1",/scholar?hl=en&q=info:cUgwhGZ9NZcJ:scholar.google.com/&output=cite&scirp=2&hl=en,"""emergency department"" machine learning",0,0
3,4,ExU4btq0S00J,Predicting hospital admission at emergency department triage using machine learning,Our study shows that machine learning can robustly predict hospital admission at  emergency department (ED) triage and that the addition of patient history improves predictive,hong2018predicting,PloS one,7,e0201016,article,2018.0,"Public Library of Science San Francisco, CA USA",PloS one,13.0,164,4,"/scholar?cites=5569744214418789651&as_sdt=5,33&sciodt=1,33&hl=en",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0201016,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0201016,"/citations?hl=en&xsrf=&continue=/scholar%3Fq%3D%2522emergency%2Bdepartment%2522%2Bmachine%2Blearning%26hl%3Den%26as_sdt%3D1,33%26as_ylo%3D2012%26as_yhi%3D2022%26as_vis%3D1&citilm=1&update_op=library_add&info=ExU4btq0S00J&ei=k4A0Y_P2KJCXywTOrbawDQ&json=","/scholar?q=related:ExU4btq0S00J:scholar.google.com/&scioq=%22emergency+department%22+machine+learning&hl=en&as_sdt=1,33&as_ylo=2012&as_yhi=2022&as_vis=1",/scholar?hl=en&q=info:ExU4btq0S00J:scholar.google.com/&output=cite&scirp=3&hl=en,"""emergency department"" machine learning",0,0
4,5,j5_RnYS065EJ,Machine learning--based prediction of clinical outcomes for children during emergency department triage,"Question Do machine learning approaches improve the  and disposition of children at  emergency department triage?  037 emergency department visits by children, machine learning–",goto2019machine,JAMA network open,1,e186937--e186937,article,2019.0,American Medical Association,JAMA network …,2.0,131,5,"/scholar?cites=10514696236702998415&as_sdt=5,33&sciodt=1,33&hl=en",https://jamanetwork.com/journals/jamanetworkopen/fullarticle/2720586,https://jamanetwork.com/journals/jamanetworkopen/article-abstract/2720586,"/citations?hl=en&xsrf=&continue=/scholar%3Fq%3D%2522emergency%2Bdepartment%2522%2Bmachine%2Blearning%26hl%3Den%26as_sdt%3D1,33%26as_ylo%3D2012%26as_yhi%3D2022%26as_vis%3D1&citilm=1&update_op=library_add&info=j5_RnYS065EJ&ei=k4A0Y_P2KJCXywTOrbawDQ&json=","/scholar?q=related:j5_RnYS065EJ:scholar.google.com/&scioq=%22emergency+department%22+machine+learning&hl=en&as_sdt=1,33&as_ylo=2012&as_yhi=2022&as_vis=1",/scholar?hl=en&q=info:j5_RnYS065EJ:scholar.google.com/&output=cite&scirp=4&hl=en,"""emergency department"" machine learning",0,0
5,6,2ezzNNqxEp4J,Machine learning for emergency department management,"This situation causes emergency department  this issue, emergency department managers  must predict the length of stay. In this work, the researchers propose to use machine learning",benbelkacem2019machine,International Journal of Information Systems in the Service Sector (IJISSS),3,19--36,article,2019.0,IGI Global,International Journal of …,11.0,15,6,"/scholar?cites=11390361958322793689&as_sdt=5,33&sciodt=1,33&hl=en",,https://www.igi-global.com/article/machine-learning-for-emergency-department-management/230912,"/citations?hl=en&xsrf=&continue=/scholar%3Fq%3D%2522emergency%2Bdepartment%2522%2Bmachine%2Blearning%26hl%3Den%26as_sdt%3D1,33%26as_ylo%3D2012%26as_yhi%3D2022%26as_vis%3D1&citilm=1&update_op=library_add&info=2ezzNNqxEp4J&ei=k4A0Y_P2KJCXywTOrbawDQ&json=","/scholar?q=related:2ezzNNqxEp4J:scholar.google.com/&scioq=%22emergency+department%22+machine+learning&hl=en&as_sdt=1,33&as_ylo=2012&as_yhi=2022&as_vis=1",/scholar?hl=en&q=info:2ezzNNqxEp4J:scholar.google.com/&output=cite&scirp=5&hl=en,"""emergency department"" machine learning",0,0
6,7,keCPwx197QcJ,"Prediction of in-hospital mortality in emergency department patients with sepsis: a local big data--driven, machine learning approach",Similar to previous work in which a machine learning model substantially improved the   demonstrate the strength of machine learning using a large number of variables for prediction,taylor2016prediction,Academic emergency medicine,3,269--278,article,2016.0,Wiley Online Library,Academic …,23.0,352,7,"/scholar?cites=571250294534430865&as_sdt=5,33&sciodt=1,33&hl=en",https://onlinelibrary.wiley.com/doi/pdf/10.1111/acem.12876,https://onlinelibrary.wiley.com/doi/abs/10.1111/acem.12876,"/citations?hl=en&xsrf=&continue=/scholar%3Fq%3D%2522emergency%2Bdepartment%2522%2Bmachine%2Blearning%26hl%3Den%26as_sdt%3D1,33%26as_ylo%3D2012%26as_yhi%3D2022%26as_vis%3D1&citilm=1&update_op=library_add&info=keCPwx197QcJ&ei=k4A0Y_P2KJCXywTOrbawDQ&json=","/scholar?q=related:keCPwx197QcJ:scholar.google.com/&scioq=%22emergency+department%22+machine+learning&hl=en&as_sdt=1,33&as_ylo=2012&as_yhi=2022&as_vis=1",/scholar?hl=en&q=info:keCPwx197QcJ:scholar.google.com/&output=cite&scirp=6&hl=en,"""emergency department"" machine learning",0,0
7,8,r5TeIdvsS-EJ,Mortality prediction of septic patients in the emergency department based on machine learning,"suspected infected patients in a hospital emergency department. During January 2007 and   the emergency department due to suspected infection. In the present study, a deep learning",perng2019mortality,Journal of clinical medicine,11,1906,article,2019.0,MDPI,Journal of clinical …,8.0,35,8,"/scholar?cites=16234329707697312943&as_sdt=5,33&sciodt=1,33&hl=en",https://www.mdpi.com/2077-0383/8/11/1906/pdf,https://www.mdpi.com/569222,"/citations?hl=en&xsrf=&continue=/scholar%3Fq%3D%2522emergency%2Bdepartment%2522%2Bmachine%2Blearning%26hl%3Den%26as_sdt%3D1,33%26as_ylo%3D2012%26as_yhi%3D2022%26as_vis%3D1&citilm=1&update_op=library_add&info=r5TeIdvsS-EJ&ei=k4A0Y_P2KJCXywTOrbawDQ&json=","/scholar?q=related:r5TeIdvsS-EJ:scholar.google.com/&scioq=%22emergency+department%22+machine+learning&hl=en&as_sdt=1,33&as_ylo=2012&as_yhi=2022&as_vis=1",/scholar?hl=en&q=info:r5TeIdvsS-EJ:scholar.google.com/&output=cite&scirp=7&hl=en,"""emergency department"" machine learning",0,0
8,9,pdPrzzYvYmsJ,Creating an automated trigger for sepsis clinical decision support at emergency department triage using machine learning,"of machine learning methods to  machine learning methods together with the free text,  demographics, and vital signs. We do not aim to do an exhaustive comparison of machine learning",horng2017creating,PloS one,4,e0174708,article,2017.0,"Public Library of Science San Francisco, CA USA",PloS one,12.0,215,9,"/scholar?cites=7737799022239011749&as_sdt=5,33&sciodt=1,33&hl=en",https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0174708,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0174708,"/citations?hl=en&xsrf=&continue=/scholar%3Fq%3D%2522emergency%2Bdepartment%2522%2Bmachine%2Blearning%26hl%3Den%26as_sdt%3D1,33%26as_ylo%3D2012%26as_yhi%3D2022%26as_vis%3D1&citilm=1&update_op=library_add&info=pdPrzzYvYmsJ&ei=k4A0Y_P2KJCXywTOrbawDQ&json=","/scholar?q=related:pdPrzzYvYmsJ:scholar.google.com/&scioq=%22emergency+department%22+machine+learning&hl=en&as_sdt=1,33&as_ylo=2012&as_yhi=2022&as_vis=1",/scholar?hl=en&q=info:pdPrzzYvYmsJ:scholar.google.com/&output=cite&scirp=8&hl=en,"""emergency department"" machine learning",0,0
9,10,1Zy9mSQvs80J,Machine learning for developing a prediction model of hospital admission of emergency department patients: Hype or hope?,Early identification of emergency department (ED) patients who need hospitalization is  essential for quality of care and patient safety. We aimed to compare machine learning (ML),de2021machine,International Journal of Medical Informatics,,104496,article,2021.0,Elsevier,International Journal of …,152.0,18,10,"/scholar?cites=14822242632851102933&as_sdt=5,33&sciodt=1,33&hl=en",https://www.sciencedirect.com/science/article/pii/S1386505621001222,https://www.sciencedirect.com/science/article/pii/S1386505621001222,"/citations?hl=en&xsrf=&continue=/scholar%3Fq%3D%2522emergency%2Bdepartment%2522%2Bmachine%2Blearning%26hl%3Den%26as_sdt%3D1,33%26as_ylo%3D2012%26as_yhi%3D2022%26as_vis%3D1&citilm=1&update_op=library_add&info=1Zy9mSQvs80J&ei=k4A0Y_P2KJCXywTOrbawDQ&json=","/scholar?q=related:1Zy9mSQvs80J:scholar.google.com/&scioq=%22emergency+department%22+machine+learning&hl=en&as_sdt=1,33&as_ylo=2012&as_yhi=2022&as_vis=1",/scholar?hl=en&q=info:1Zy9mSQvs80J:scholar.google.com/&output=cite&scirp=9&hl=en,"""emergency department"" machine learning",0,0
10,11,0C2p4Hsd0BQJ,Using machine learning tools to predict outcomes for emergency department intensive care unit patients,"emergency department critically ill patients is lacking, this study’s objective was to develop  a scoring system using machine learning  entered the emergency department intensive care",zhai2020using,Scientific reports,1,1--10,article,2020.0,Nature Publishing Group,Scientific reports,10.0,13,12,"/scholar?cites=1499731093801741776&as_sdt=5,33&sciodt=1,33&hl=en",https://www.nature.com/articles/s41598-020-77548-3,https://www.nature.com/articles/s41598-020-77548-3,"/citations?hl=en&xsrf=&continue=/scholar%3Fq%3D%2522emergency%2Bdepartment%2522%2Bmachine%2Blearning%26hl%3Den%26start%3D10%26as_sdt%3D1,33%26as_ylo%3D2012%26as_yhi%3D2022%26as_vis%3D1&citilm=1&update_op=library_add&info=0C2p4Hsd0BQJ&ei=OoE0Y_fsBqWTy9YPyqij-Ak&json=","/scholar?q=related:0C2p4Hsd0BQJ:scholar.google.com/&scioq=%22emergency+department%22+machine+learning&hl=en&as_sdt=1,33&as_ylo=2012&as_yhi=2022&as_vis=1",/scholar?hl=en&q=info:0C2p4Hsd0BQJ:scholar.google.com/&output=cite&scirp=11&hl=en,"""emergency department"" machine learning",0,0
